time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 6 0 0 0 3
180 0 5 1 0 0 2
240 0 6 0 0 0 3
300 0 6 0 0 0 3
360 0 6 0 0 0 3
420 0 6 0 0 0 3
480 0 6 0 0 0 3
540 0 6 0 0 1 2
600 0 5 1 0 1 1
660 0 5 1 0 0 2
720 0 6 0 0 1 2
780 0 6 0 0 0 3
840 0 4 2 0 0 1
900 0 6 0 0 0 3
960 0 4 2 0 0 1
1020 0 6 0 0 0 3
1080 0 6 0 0 0 3
1140 0 5 1 0 0 2
1200 0 6 0 0 0 3
1260 0 6 0 0 0 3
1320 0 6 0 0 0 3
1380 0 6 0 0 0 3
1440 0 6 0 0 0 3
1500 0 5 1 0 0 2
1560 0 6 0 0 0 3
1620 0 6 0 0 0 3
1680 0 6 0 0 0 3
1740 0 6 0 0 0 3
1800 0 6 0 0 0 3
1860 0 4 2 0 0 1
1920 0 6 0 0 0 3
1980 0 5 1 0 0 2
2040 0 5 1 0 0 2
2100 0 6 0 0 0 3
2160 0 5 1 0 0 2
2220 0 6 0 0 0 3
2280 0 5 1 0 0 2
2340 0 5 1 0 0 2
2400 0 6 0 0 0 3
2460 0 6 0 0 0 3
2520 0 6 0 0 0 3
2580 0 5 1 0 0 2
2640 0 5 1 0 0 2
2700 0 6 0 0 0 3
2760 0 6 0 0 0 3
2820 0 6 0 0 0 3
2880 0 4 2 0 0 1
2940 0 6 0 0 0 3
3000 0 6 0 0 0 3
3060 0 6 0 0 0 3
3120 0 5 1 0 0 2
3180 0 6 0 0 0 3
3240 0 5 1 0 0 2
3300 0 6 0 0 0 3
3360 0 5 1 0 0 2
3420 0 6 0 0 0 3
3480 0 6 0 0 0 3
3540 0 6 0 0 0 3
3600 0 5 1 0 0 2
3660 0 6 0 0 0 3
3720 0 6 0 0 0 3
3780 0 6 0 0 0 3
3840 0 5 1 0 0 2
3900 0 4 2 0 0 1
3960 0 5 1 0 0 2
4020 0 6 0 0 0 3
4080 0 6 0 0 0 3
4140 0 6 0 0 0 3
4200 0 6 0 0 0 3
4260 0 5 1 0 0 2
4320 0 6 0 0 0 3
4380 0 6 0 0 0 3
4440 0 6 0 0 0 3
4500 0 5 1 0 0 2
4560 0 5 1 0 0 2
4620 0 6 0 0 0 3
4680 0 4 2 0 0 1
4740 0 5 1 1 0 2
4800 0 5 1 0 0 2
4860 0 5 1 0 0 2
4920 0 6 0 0 0 3
4980 0 6 0 0 0 3
5040 0 5 1 0 0 2
5100 0 5 1 0 0 2
5160 0 5 1 0 0 2
5220 0 6 0 0 0 3
5280 0 6 0 0 0 3
5340 0 6 0 1 0 3
5400 0 6 0 0 0 3
5460 0 6 0 0 0 3
5520 0 6 0 0 0 3
5580 0 5 1 0 0 2
5640 0 6 0 0 0 3
5700 0 6 0 0 0 3
5760 0 6 0 0 0 3
5820 0 6 0 0 0 3
5880 0 6 0 0 0 3
5940 0 5 1 0 0 2
6000 0 6 0 0 0 3
6060 0 5 1 1 0 2
6120 0 5 1 0 0 2
6180 0 5 1 0 0 2
6240 0 6 0 0 0 3
6300 0 6 0 0 0 3
6360 0 6 0 0 0 3
6420 0 6 0 0 0 3
6480 0 6 0 0 0 3
6540 0 4 2 0 0 1
6600 0 6 0 0 0 3
6660 0 5 1 0 0 2
6720 0 4 2 0 0 1
6780 0 5 1 0 0 2
6840 0 3 3 0 0 0
6900 0 5 1 0 0 2
6960 0 5 1 0 0 2
7020 0 6 0 0 0 3
7080 0 6 0 0 0 3
7140 0 6 0 0 0 3
7200 0 6 0 0 0 3
7260 0 6 0 0 0 3
7320 0 6 0 0 0 3
7380 0 5 1 0 0 2
7440 0 6 0 0 0 3
7500 0 6 0 0 0 3
7560 0 6 0 0 0 3
7620 0 5 1 0 0 2
7680 0 5 1 0 0 2
7740 0 5 1 0 0 2
7800 0 5 1 0 0 2
7860 0 6 0 0 0 3
7920 0 6 0 0 0 3
7980 0 5 1 0 0 2
8040 0 6 0 0 0 3
8100 0 6 0 0 0 3
8160 0 6 0 0 0 3
8220 0 6 0 0 0 3
8280 0 5 1 0 0 2
8340 0 5 1 0 0 2
8400 0 6 0 0 0 3
