time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 6 0 0 0 3
180 0 6 0 0 0 3
240 0 6 0 0 0 3
300 0 5 1 0 0 2
360 0 5 1 0 0 2
420 0 5 1 0 0 2
480 0 6 0 0 0 3
540 0 5 1 0 0 2
600 0 5 1 0 0 2
660 0 6 0 0 0 3
720 0 6 0 0 0 3
780 0 5 1 0 0 2
840 0 6 0 0 0 3
900 0 5 1 0 0 2
960 0 5 1 0 0 2
1020 0 5 1 0 0 2
1080 0 6 0 0 0 3
1140 0 6 0 0 0 3
1200 0 5 1 0 0 2
1260 0 6 0 0 0 3
1320 0 6 0 0 0 3
1380 0 5 1 0 0 2
1440 0 5 1 0 0 2
1500 0 5 1 0 0 2
1560 0 5 1 0 0 2
1620 0 6 0 0 0 3
1680 0 6 0 0 0 3
1740 0 6 0 0 0 3
1800 0 5 1 0 0 2
1860 0 5 1 0 0 2
1920 0 6 0 0 1 2
1980 0 6 0 0 1 2
2040 0 6 0 0 1 2
2100 0 6 0 0 1 2
2160 0 6 0 0 1 2
2220 0 6 0 0 0 3
2280 0 6 0 0 0 3
2340 0 6 0 0 0 3
2400 0 6 0 0 0 3
2460 0 5 1 0 0 2
2520 0 5 1 0 0 2
2580 0 6 0 0 0 3
2640 0 6 0 0 0 3
2700 0 6 0 0 0 3
2760 0 6 0 0 0 3
2820 0 6 0 0 0 3
2880 1 5 1 0 0 2
2940 1 5 1 0 0 2
3000 1 6 0 0 0 3
3060 0 5 1 0 0 2
3120 0 6 0 0 1 2
3180 0 6 0 0 0 3
3240 0 4 2 0 0 1
3300 0 6 0 0 0 3
3360 0 5 1 0 0 2
3420 0 5 1 0 0 2
3480 0 6 0 0 0 3
3540 0 6 0 0 0 3
3600 0 6 0 0 0 3
3660 0 6 0 0 0 3
3720 0 6 0 0 0 3
3780 0 6 0 0 0 3
3840 0 6 0 0 0 3
3900 0 4 2 0 0 1
3960 0 6 0 0 0 3
4020 0 6 0 0 0 3
4080 0 6 0 0 0 3
4140 0 5 1 0 0 2
4200 0 5 1 0 0 2
4260 0 6 0 0 0 3
4320 0 6 0 0 0 3
4380 0 5 1 0 0 2
4440 0 6 0 0 0 3
4500 0 5 1 0 0 2
4560 0 6 0 0 0 3
4620 0 6 0 0 0 3
4680 0 4 2 0 0 1
4740 0 5 1 0 0 2
4800 0 5 1 0 0 2
4860 0 6 0 0 0 3
4920 0 6 0 0 0 3
4980 0 6 0 0 0 3
5040 0 6 0 0 1 2
5100 0 5 1 0 0 2
5160 0 6 0 0 0 3
5220 0 6 0 1 0 3
5280 0 6 0 0 0 3
5340 0 5 1 0 0 2
5400 0 5 1 0 0 2
5460 0 5 1 0 0 2
5520 0 6 0 0 0 3
5580 0 5 1 0 0 2
5640 0 6 0 0 0 3
5700 0 5 1 0 0 2
5760 0 5 1 0 0 2
5820 0 6 0 0 0 3
5880 0 5 1 0 0 2
5940 0 5 1 0 0 2
6000 0 5 1 0 0 2
6060 0 6 0 0 0 3
6120 0 6 0 0 0 3
6180 0 6 0 0 0 3
6240 0 5 1 0 0 2
6300 0 5 1 0 0 2
6360 0 6 0 0 0 3
6420 0 6 0 0 0 3
6480 0 5 1 0 0 2
6540 0 4 2 0 0 1
6600 0 5 1 0 0 2
6660 0 4 2 0 0 1
6720 0 5 1 0 0 2
6780 0 5 1 0 0 2
6840 0 6 0 1 0 3
6900 0 5 1 0 0 2
6960 0 5 1 0 0 2
7020 0 6 0 0 0 3
7080 0 4 2 0 0 1
7140 0 6 0 0 0 3
7200 0 5 1 0 0 2
7260 0 5 1 0 0 2
7320 0 6 0 0 0 3
7380 0 6 0 0 0 3
7440 0 5 1 0 0 2
7500 0 6 0 0 0 3
7560 0 6 0 0 0 3
7620 0 6 0 0 0 3
7680 0 4 2 0 0 1
7740 0 6 0 0 0 3
7800 0 6 0 0 0 3
7860 0 5 1 0 0 2
7920 0 6 0 0 0 3
7980 0 5 1 0 0 2
8040 0 6 0 0 0 3
8100 0 6 0 0 0 3
8160 0 6 0 0 0 3
8220 0 6 0 0 0 3
8280 0 6 0 0 0 3
8340 0 6 0 0 0 3
8400 0 5 1 0 0 2
8460 0 5 1 0 0 2
8520 0 5 1 0 0 2
8580 0 6 0 0 0 3
8640 0 6 0 0 0 3
8700 0 5 1 0 0 2
8760 0 6 0 0 0 3
8820 0 6 0 0 0 3
8880 0 5 1 0 0 2
8940 0 6 0 0 0 3
9000 0 4 2 0 0 1
9060 0 6 0 0 0 3
9120 0 5 1 0 0 2
9180 0 6 0 0 0 3
9240 0 6 0 0 0 3
9300 0 6 0 0 0 3
9360 0 6 0 0 0 3
9420 0 6 0 0 0 3
9480 0 5 1 0 0 2
